t,C,sigma,norm
192,2.85614288697661e-14,0.0,0.14035014978414223
193,3.1811742603665535e-14,0.0,0.13990158029452412
194,3.540766729073341e-14,0.0,0.1394564822540203
195,3.9383365481824104e-14,0.0,0.13901480956189827
196,4.3776119611714195e-14,0.0,0.13857651698411225
197,4.8626593244619075e-14,0.0,0.13814156013221582
198,5.397911218450824e-14,0.0,0.13770989544290507
199,5.988196680449081e-14,0.0,0.13728148015816954
200,6.638773703086678e-14,0.0,0.13685627230603034
201,7.355364150295311e-14,0.0,0.13643423068184407
202,8.144191251967241e-14,0.0,0.13601531483015347
203,9.012019847832176e-14,0.0,0.13559948502706562
204,9.966199561010292e-14,0.0,0.13518670226313895
205,1.1014711092109336e-13,0.0,0.13477692822676282
206,1.2166215835656572e-13,0.0,0.13437012528801173
207,1.3430109032112898e-13,0.0,0.1339662564829587
208,1.481657668072809e-13,0.0,0.13356528549843208
209,1.6336656451084537e-13,0.0,0.13316717665720115
210,1.8002302844364445e-13,0.0,0.1327718949035758
211,1.9826456869185769e-13,0.0,0.13237940578940707
212,2.1823120511307959e-13,0.0,0.13198967546047485
213,2.4007436291636033e-13,0.0,0.1316026706432503
214,2.639577222277308e-13,0.0,0.1312183586320205
215,2.9005812490915655e-13,0.0,0.13083670727636432
216,3.1856654207177923e-13,0.0,0.13045768496896648
217,3.496891059049641e-13,0.0,0.13008126063376135
218,3.836482096313689e-13,0.0,0.12970740371439343
219,4.2068367959524855e-13,0.0,0.12933608416298623
220,4.610540236968157e-13,0.0,0.12896727242920916
221,5.050377605999915e-13,0.0,0.12860093944963288
222,5.529348343645967e-13,0.0,0.12823705663736412
223,6.050681193872751e-13,0.0,0.12787559587195185
224,6.617850207785371e-13,0.0,0.12751652948955525
225,7.234591755565592e-13,0.0,0.12715983027336666
226,7.904922603021583e-13,0.0,0.1268054714442809
227,8.633159111939705e-13,0.0,0.12645342665180315
228,9.423937626287012e-13,0.0,0.12610366996518946
229,1.028223610928682e-12,0.0,0.12575617586481116
230,1.121339709948312e-12,0.0,0.12541091923373796
231,1.2223152057125522e-12,0.0,0.12506787534953182
232,1.3317647175549499e-12,0.0,0.12472701987624643
233,1.4503470735700567e-12,0.0,0.12438832885662579
234,1.5787682085559119e-12,0.0,0.12405177870449556
235,1.7177842329970075e-12,0.0,0.1237173461973423
236,1.8682046820271307e-12,0.0,0.12338500846907456
237,2.0308959537151907e-12,0.0,0.12305474300296074
238,2.2067849464359684e-12,0.0,0.12272652762473849
239,2.3968629055221285e-12,0.0,0.12240034049589096
240,2.6021894898442617e-12,0.0,0.12207616010708465
241,2.8238970694325826e-12,0.0,0.12175396527176482
242,3.0631952657377063e-12,0.0,0.12143373511990338
243,3.3213757466291272e-12,0.0,0.12111544909189548
244,3.599817288749021e-12,0.0,0.12079908693260034
245,3.899991120376436e-12,0.0,0.12048462868552214
246,4.223466558513047e-12,0.0,0.1201720546871275
247,4.571916954477293e-12,0.0,0.11986134556129538
248,4.947125962888992e-12,0.0,0.11955248221389557
249,5.3509941495422395e-12,0.0,0.11924544582749318
250,5.785545954301003e-12,0.0,0.11894021785617433
251,6.252937025809673e-12,0.0,0.1186367800204907
252,6.755461945490747e-12,0.0,0.1183351143025195
253,7.29556235900412e-12,0.0,0.11803520294103562
254,7.875835534067701e-12,0.0,0.11773702842679268
255,8.499043364287981e-12,0.0,0.11744057349791079
256,9.168121839422109e-12,0.0,0.11714582113536764
257,9.886191003290748e-12,0.0,0.11685275455859
