t,S,R,gain,norm
219,0.08438304479822833,0.9156169552017717,1.0,19.999999999999
220,0.08314318578440127,0.9168568142155987,1.0,19.999999999999005
221,0.08294309436781866,0.9170569056321813,1.0,19.999999999999
222,0.08256223896365167,0.9174377610363483,1.0,19.999999999999005
223,0.08233838576605845,0.9176616142339415,1.0,19.999999999998998
224,0.08309113739198681,0.9169088626080132,1.0,19.999999999999
225,0.08370538541974526,0.9162946145802547,1.0,19.999999999998998
226,0.08553781442588315,0.9144621855741168,1.0,19.999999999999
227,0.08365171398065663,0.9163482860193434,1.0,19.999999999999
228,0.08399795413267408,0.9160020458673259,1.0,19.999999999998998
229,0.08392461029607845,0.9160753897039215,1.0,19.999999999999
230,0.08354244273230549,0.9164575572676945,1.0,19.999999999999
231,0.08354670095777761,0.9164532990422224,1.0,19.999999999999
232,0.08354149319845894,0.9164585068015411,1.0,19.999999999999
233,0.08441187024500041,0.9155881297549996,1.0,19.999999999999005
234,0.08394427622078371,0.9160557237792163,1.0,19.999999999999
235,0.08312437035873188,0.9168756296412681,1.0,19.999999999999
236,0.08279339166013111,0.9172066083398689,1.0,19.999999999998998
237,0.08193905935604495,0.918060940643955,1.0,19.999999999999
238,0.08241387933816013,0.9175861206618399,1.0,19.999999999998998
239,0.08225588652852334,0.9177441134714767,1.0,19.999999999999
240,0.08217490138314432,0.9178250986168557,1.0,19.999999999999005
241,0.08215599966134257,0.9178440003386574,1.0,19.999999999998998
242,0.08233867862635857,0.9176613213736414,1.0,19.999999999999
243,0.08229562015742331,0.9177043798425767,1.0,19.999999999999
244,0.08221635608579725,0.9177836439142028,1.0,19.999999999998998
245,0.08223893374631519,0.9177610662536848,1.0,19.999999999999
246,0.08136193098132938,0.9186380690186706,1.0,19.999999999999
247,0.08151789944606813,0.9184821005539319,1.0,19.999999999999
248,0.08307442612325777,0.9169255738767422,1.0,19.999999999999
249,0.0826339501671065,0.9173660498328935,1.0,19.999999999999005
250,0.08154889945174582,0.9184511005482542,1.0,19.999999999998998
251,0.0816229094601596,0.9183770905398404,1.0,19.999999999999005
252,0.08158862081145135,0.9184113791885486,1.0,19.999999999999005
253,0.08112720299930287,0.9188727970006971,1.0,19.999999999999
254,0.08136315000023409,0.9186368499997659,1.0,19.999999999999005
255,0.08147730444490875,0.9185226955550913,1.0,19.999999999999
256,0.08249516584075223,0.9175048341592478,1.0,19.999999999999
257,0.0818956903214827,0.9181043096785173,1.0,19.999999999999
258,0.08240726987640268,0.9175927301235973,1.0,19.999999999999
259,0.08117098477845852,0.9188290152215415,1.0,19.999999999999
260,0.08123661764827816,0.9187633823517218,1.0,19.999999999999005
261,0.08231284394152116,0.9176871560584788,1.0,19.999999999999
262,0.08271666398177635,0.9172833360182236,1.0,19.999999999999
263,0.08247743725267198,0.917522562747328,1.0,19.999999999999
264,0.08265498607279465,0.9173450139272054,1.0,19.999999999999
265,0.08191462469248612,0.9180853753075139,1.0,19.999999999999
266,0.08114004704416677,0.9188599529558332,1.0,19.999999999998998
267,0.08155950565305625,0.9184404943469437,1.0,19.999999999999005
268,0.08151642120182623,0.9184835787981738,1.0,19.999999999999
269,0.08172895765423394,0.9182710423457661,1.0,19.999999999999
270,0.08142939685372896,0.918570603146271,1.0,19.999999999999005
271,0.08107320640885052,0.9189267935911495,1.0,19.999999999999005
272,0.0813069957085224,0.9186930042914776,1.0,19.999999999999005
273,0.08080773037714162,0.9191922696228584,1.0,19.999999999998998
274,0.08189968010049486,0.9181003198995051,1.0,19.999999999999
275,0.08173131398207023,0.9182686860179298,1.0,19.999999999999
276,0.08129498251026701,0.918705017489733,1.0,19.999999999999
