t,alpha,v,a
127,0.5076200920495385,2.840303615686986,-0.45330040244441117
128,0.5044261643632783,2.818667442762579,-0.432723458488137
129,0.5007995132185298,2.7980880785995583,-0.4115872832604177
130,0.49676127479052096,2.7785889885544943,-0.3899818009012761
131,0.49233305456161086,2.7601894283491797,-0.36799120410629094
132,0.48753684312859447,2.742904726332466,-0.34569404033427875
133,0.48239493765524377,2.7267465586097948,-0.32316335445342337
134,0.47692986882743965,2.7117232146836225,-0.3004668785234419
135,0.4711643331211121,2.6978398516808504,-0.2776672600554473
136,0.4651211301547291,2.685098735641337,-0.2548223207902638
137,0.45882310486755584,2.673499468703192,-0.23198533876290695
138,0.4522930942416197,2.663039201345537,-0.2092053471530928
139,0.44555387826853043,2.6537128291385055,-0.18652744414063394
140,0.43862813485130053,2.645513173704706,-0.1639931086759907
141,0.43153839832539465,2.6384311478182427,-0.14164051772926034
142,0.4243070212817595,2.6324559047588543,-0.11950486118777226
143,0.4169561393769366,2.627574972202441,-0.09761865112827262
144,0.4095076388209854,2.623774371067854,-0.07601202269173779
145,0.40198312624234245,2.6210387198560343,-0.054713024236391794
146,0.3944039006394631,2.61935132511412,-0.033747894838285
147,0.3867909271417455,2.6186942587365776,-0.013141327550850068
148,0.3791648123164771,2.619048422880173,0.007083282871909513
149,0.37154578077408057,2.620393603321966,0.026903608835861847
150,0.3639536528405199,2.622708512131518,0.046298176191038154
151,0.3564078230831503,2.625970820561996,0.06524616860955768
152,0.3489272394943902,2.63015718309142,0.08372725058848418
153,0.3415303831562186,2.6352432535663053,0.1017214094977068
154,0.3342352482275447,2.6412036944165203,0.11920881700430341
155,0.3270593221158751,2.6480121799232297,0.136169710134188
156,0.32001956571433965,2.655641394531964,0.15258429217468616
157,0.3131323936049789,2.664063027210651,0.16843265357374193
158,0.3064136541491919,2.6732477628580824,0.18369471294862627
159,0.2998786094063536,2.683165271771856,0.19835017827547263
160,0.2935419148417907,2.6937841981862105,0.2123785282870957
161,0.28741759880551493,2.7050721488890646,0.22575901405708
162,0.28151904178329623,2.716995682923568,0.2384706806900685
163,0.2758589554417676,2.7295203033720137,0.25049240896891256
164,0.27044936150920784,2.7426104522083445,0.26180297672661956
165,0.2653015705533747,2.7562295091889957,0.2723811396130249
166,0.26042616073715463,2.7703397957295683,0.28220573081145783
167,0.255832956651746,2.784902584685994,0.29125577912851053
168,0.2515310083454659,2.7998781169224958,0.29951064473003775
169,0.2475285706839158,2.815225625503946,0.30695017162900096
170,0.24383308319399472,2.830903368296277,0.31355485584663056
171,0.24045115055992025,2.8468686696947376,0.3193060279692065
172,0.23738852395381502,2.8630779721252777,0.32418604861080524
173,0.23465008339632057,2.8794868978788095,0.3281785150706352
174,0.23223982135389676,2.8960503217410967,0.33126847724573893
175,0.23016082778871869,2.9127224547726107,0.33344266063028416
176,0.2284152768841709,2.9294569394729293,0.33468969400637216
177,0.2270044156736295,2.9462069564336235,0.3350003392138886
178,0.22592855480230198,2.9629253424428468,0.3343677201844628
179,0.22518706165115893,2.979564719855024,0.3327875482435415
180,0.2247783560482594,2.9960776368816036,0.3302583405315951
181,0.22469990878589147,3.012416718295466,0.32678162827725443
182,0.2249482431518008,3.0285348258743823,0.3223621515783217
183,0.22551893966928843,3.0443852277402472,0.3170080373172962
184,0.22640664422409337,3.0599217755833434,0.3107309568619284
185,0.22760507973576025,3.0750990885975016,0.303546260283164
186,0.2291070615077103,3.089872742795821,0.2954730839663884
187,0.23090451636362672,3.1041994642308,0.2865344286995781
188,0.23298850564824272,3.1180373245105395,0.2767572055947902
189,0.2353492521384535,3.1313459368873726,0.26617224753666
190,0.23797617087620096,3.1440866510999124,0.254814284250793
191,0.2408579038981992,3.1562227450770006,0.24272187954176638
192,0.2439823587997392,3.167719611564937,0.22993732975872538
193,0.24733675103103794,3.178544937719848,0.21650652309822693
194,0.2509076497854349,3.188668875716814,0.2024787599393214
195,0.25468102729977116,3.1980642024674957,0.18790653501363552
196,0.2586423113491211,3.2067064666090417,0.17284528283092337
197,0.2627764406813019,3.2145741210287797,0.15735308839476192
198,0.2670679231018775,3.2216486393207697,0.14149036583980046
199,0.2715008958882929,3.227914614730125,0.12531950818711124
