t,peak,symmetry_error,chi,norm
323,1.0738636456,0.0030744570,0.0120000000,4.6895694273
324,1.0734202211,0.0030304787,0.0120000000,4.6901560993
325,1.0740646759,0.0029967777,0.0120000000,4.6905611672
326,1.0744709852,0.0030039125,0.0120000000,4.6906589913
327,1.0743635172,0.0032294431,0.0120000000,4.6909590534
328,1.0745633112,0.0033632002,0.0120000000,4.6919758934
329,1.0746402301,0.0030124958,0.0120000000,4.6924431051
330,1.0755065589,0.0029300202,0.0120000000,4.6932151129
331,1.0757785635,0.0028839862,0.0120000000,4.6930049327
332,1.0758168797,0.0030501637,0.0120000000,4.6932056829
333,1.0765478219,0.0032997150,0.0120000000,4.6938356488
334,1.0771555533,0.0031787863,0.0120000000,4.6941052834
335,1.0775703857,0.0031129630,0.0120000000,4.6951530539
336,1.0782233212,0.0029831716,0.0120000000,4.6954130538
337,1.0782105335,0.0030373263,0.0120000000,4.6952686882
338,1.0785042069,0.0029713152,0.0120000000,4.6961004320
339,1.0790115164,0.0030062642,0.0120000000,4.6964996782
340,1.0794052038,0.0028806723,0.0120000000,4.6970393709
341,1.0800954390,0.0028348560,0.0120000000,4.6972287432
342,1.0796848366,0.0030796043,0.0120000000,4.6976881481
343,1.0799737362,0.0030777693,0.0120000000,4.6979286688
344,1.0802318155,0.0030904571,0.0120000000,4.6981519136
345,1.0804053756,0.0031968347,0.0120000000,4.6988484641
346,1.0808169572,0.0030725412,0.0120000000,4.6991738483
347,1.0808791608,0.0030312679,0.0120000000,4.6998550108
348,1.0809897570,0.0032019655,0.0120000000,4.7000936363
349,1.0815760558,0.0031377862,0.0120000000,4.7007448329
350,1.0818625652,0.0032979596,0.0120000000,4.7012720648
351,1.0824401401,0.0035962420,0.0120000000,4.7018333935
352,1.0823994866,0.0034256933,0.0120000000,4.7019694551
353,1.0827010662,0.0031808872,0.0120000000,4.7021110103
354,1.0830933971,0.0031479276,0.0120000000,4.7023167231
355,1.0836662805,0.0028933928,0.0120000000,4.7029095011
356,1.0841783915,0.0028431962,0.0120000000,4.7033576971
