t,norm,width_fwhm,peak_a2,chi
2069,5.591608045045411,1.0,10.21897778695671,0.2
2070,5.591608045045411,1.0,10.249679884605944,0.2
2071,5.59160804504541,1.0,10.280178152860486,0.2
2072,5.591608045045411,1.0,10.310440776364409,0.2
2073,5.591608045045411,1.0,10.340435538026638,0.2
2074,5.591608045045411,1.0,10.37012988592491,0.2
2075,5.591608045045412,1.0,10.399491003657413,0.2
2076,5.591608045045412,1.0,10.428485884002198,0.2
2077,5.591608045045412,1.0,10.457081405718089,0.2
2078,5.59160804504541,1.0,10.485244413293412,0.2
2079,5.591608045045411,1.0,10.512941799422155,0.2
2080,5.591608045045412,1.0,10.540140589959949,0.2
2081,5.591608045045411,1.0,10.566808031085984,0.2
2082,5.59160804504541,1.0,10.592911678371005,0.2
2083,5.59160804504541,1.0,10.618419487426896,0.2
2084,5.591608045045411,1.0,10.643299905789926,0.2
2085,5.591608045045412,1.0,10.667521965667914,0.2
2086,5.591608045045411,1.0,10.691055377161772,0.2
2087,5.591608045045411,1.0,10.713870621554358,0.2
2088,5.591608045045411,1.0,10.735939044244294,0.2
2089,5.591608045045411,1.0,10.757232946890504,0.2
2090,5.591608045045412,1.0,10.777725678323709,0.2
2091,5.59160804504541,1.0,10.79739172377536,0.2
2092,5.591608045045411,1.0,10.81620679197199,0.2
2093,5.591608045045412,1.0,10.834147899643998,0.2
2094,5.591608045045411,1.0,10.85119345300294,0.2
2095,5.591608045045412,1.0,10.86732332574988,0.2
2096,5.591608045045411,1.0,10.882518933189887,0.2
2097,5.591608045045411,1.0,10.896763302043995,0.2
2098,5.591608045045411,1.0,10.910041135570058,0.2
2099,5.59160804504541,1.0,10.922338873627233,0.2
2100,5.591608045045411,1.0,10.933644747346142,0.2
2101,5.59160804504541,1.0,10.94394882809663,0.2
2102,5.591608045045411,1.0,10.953243070478479,0.2
2103,5.59160804504541,1.0,10.961521349095863,0.2
2104,5.591608045045411,1.0,10.968779488914741,0.2
2105,5.59160804504541,1.0,10.975015289041917,0.2
2106,5.591608045045411,1.0,10.980228539806314,0.2
2107,5.591608045045411,1.0,10.984421033065273,0.2
2108,5.59160804504541,1.0,10.98759656570194,0.2
2109,5.591608045045411,1.0,10.989760936323133,0.2
2110,5.591608045045412,1.0,10.990921935210087,0.2
2111,5.591608045045412,1.0,10.991089327616914,0.2
2112,5.59160804504541,1.0,10.990274830552679,0.2
2113,5.591608045045412,1.0,10.988492083222807,0.2
2114,5.59160804504541,1.0,10.985756611342993,0.2
2115,5.591608045045411,1.0,10.982085785574467,0.2
2116,5.59160804504541,1.0,10.977498774361859,0.2
2117,5.591608045045412,1.0,10.972016491485071,0.2
2118,5.591608045045411,1.0,10.965661538663035,0.2
2119,5.591608045045411,1.0,10.958458143570683,0.2
2120,5.591608045045411,1.0,10.950432093650084,0.2
2121,5.591608045045411,1.0,10.941610666113274,0.2
2122,5.591608045045412,1.0,10.932022554546545,0.2
2123,5.591608045045412,1.0,10.921697792535046,0.2
2124,5.59160804504541,1.0,10.910667674731833,0.2
2125,5.591608045045411,1.0,10.898964675797162,0.2
2126,5.59160804504541,1.0,10.886622367632274,0.2
2127,5.59160804504541,1.0,10.873675335326832,0.2
2128,5.591608045045411,1.0,10.86015909223122,0.2
2129,5.591608045045411,1.0,10.846109994554045,0.2
2130,5.591608045045411,1.0,10.831565155871488,0.2
2131,5.59160804504541,1.0,10.816562361919383,0.2
2132,5.591608045045412,1.0,10.801139986020768,0.2
2133,5.591608045045412,1.0,10.785336905481808,0.2
2134,5.59160804504541,1.0,10.769192419267537,0.2
2135,5.591608045045412,1.0,10.752746167246208,0.2
2136,5.59160804504541,1.0,10.73603805126708,0.2
2137,5.59160804504541,1.0,10.719108158312524,0.2
2138,5.591608045045411,1.0,10.701996685939772,0.2
2139,5.591608045045411,1.0,10.68474387020309,0.2
2140,5.591608045045411,1.0,10.66738991622162,0.2
2141,5.59160804504541,1.0,10.649974931533476,0.2
2142,5.591608045045412,1.0,10.632538862352112,0.2
2143,5.591608045045411,1.0,10.615121432817043,0.2
2144,5.59160804504541,1.0,10.597762087308176,0.2
2145,5.59160804504541,1.0,10.580499935870423,0.2
2146,5.591608045045411,1.0,10.563373702774319,0.2
2147,5.591608045045411,1.0,10.546421678218298,0.2
2148,5.591608045045412,1.0,10.529681673159288,0.2
2149,5.591608045045411,1.0,10.513190977240601,0.2
2150,5.59160804504541,1.0,10.496986319770048,0.2
2151,5.591608045045412,1.0,10.481103833685786,0.2
2152,5.591608045045411,1.0,10.465579022433971,0.2
2153,5.591608045045411,1.0,10.450446729669942,0.2
2154,5.591608045045412,1.0,10.435741111683392,0.2
2155,5.591608045045411,1.0,10.421495612438358,0.2
2156,5.591608045045411,1.0,10.40774294111044,0.2
2157,5.59160804504541,1.0,10.394515051996047,0.2
2158,5.59160804504541,1.0,10.381843126662659,0.2
2159,5.591608045045411,1.0,10.36975755820371,0.2
2160,5.591608045045411,1.0,10.358287937458028,0.2
2161,5.59160804504541,1.0,10.347463041050382,0.2
2162,5.59160804504541,1.0,10.337310821107874,0.2
2163,5.591608045045411,1.0,10.327858396505487,0.2
2164,5.591608045045411,1.0,10.31913204549365,0.2
2165,5.591608045045411,1.0,10.311157199561041,0.2
2166,5.59160804504541,1.0,10.303958438386603,0.2
2167,5.591608045045412,1.0,10.297559485736421,0.2
2168,5.591608045045411,1.0,10.291983206163057,0.2
2169,5.59160804504541,1.0,10.287251602367627,0.2
2170,5.591608045045411,1.0,10.283385813087795,0.2
2171,5.591608045045411,1.0,10.280406111378236,0.2
2172,5.591608045045411,1.0,10.278331903154108,0.2
2173,5.591608045045412,1.0,10.277181725871769,0.2
2174,5.591608045045411,1.0,10.27697324722564,0.2
2175,5.591608045045411,1.0,10.277723263744564,0.2
2176,5.591608045045411,1.0,10.279447699175803,0.2
2177,5.59160804504541,1.0,10.28216160254996,0.2
2178,5.591608045045412,1.0,10.285879145825257,0.2
2179,5.591608045045411,1.0,10.290613621014858,0.2
2180,5.591608045045411,1.0,10.296377436706896,0.2
2181,5.59160804504541,1.0,10.30318211389196,0.2
2182,5.591608045045411,1.0,10.311038281019306,0.2
2183,5.591608045045412,1.0,10.31995566820862,0.2
2184,5.591608045045411,1.0,10.329943100550702,0.2
2185,5.59160804504541,1.0,10.341008490436668,0.2
2186,5.591608045045411,1.0,10.353158828861881,0.2
2187,5.59160804504541,1.0,10.366400175657638,0.2
