t,v0,T,coherence
1.746,6.0,0.39398912289875404,0.0909047901275108
1.752,6.0,0.39780139544721144,0.09192918524811042
1.758,6.0,0.40100564697725827,0.09278683138796198
1.764,6.0,0.4034412287240165,0.09329554488220926
1.77,6.0,0.4049841047067042,0.09332725973256421
1.776,6.0,0.4055542523706464,0.09281983868115376
1.782,6.0,0.40512066649102085,0.0917518603322897
1.788,6.0,0.40370614729228194,0.09013958434105583
1.794,6.0,0.4013925458034786,0.08802738336520799
1.8,6.0,0.39832466969481595,0.08544201547476805
1.806,6.0,0.39470932553423876,0.08233670728457664
1.812,6.0,0.3908062080552677,0.07864198653480826
1.818,6.0,0.3869093203951317,0.074202049966645
1.824,6.0,0.38332074279157613,0.06902919813521377
1.83,6.0,0.3803213890541619,0.06332244848622984
1.836,6.0,0.37814479955300917,0.05716266761241942
1.842,6.0,0.3769592154830601,0.05057616047571173
1.848,6.0,0.3768602525537534,0.04359055505128021
1.854,6.0,0.3778728106402293,0.03630760889258427
1.86,6.0,0.37995819493978966,0.028826806154409367
1.866,6.0,0.38302194766847697,0.021326339965749154
1.872,6.0,0.3869195923794548,0.014102867061544304
1.8780000000000001,6.0,0.391460194738516,0.008033713930976816
1.8840000000000001,6.0,0.3964100141635032,0.006707732792722124
1.8900000000000001,6.0,0.4014995603230455,0.011218230118975037
1.8960000000000001,6.0,0.4064370554403912,0.016920323570611875
1.9020000000000001,6.0,0.4109297750374103,0.02238316396689812
1.9080000000000001,6.0,0.4147123098279722,0.027281400155737913
1.9140000000000001,6.0,0.4175781321929393,0.03153060306572623
1.92,6.0,0.4194084944926615,0.035083308818116596
1.926,6.0,0.420191661554827,0.037973074325697444
1.932,6.0,0.4200262552020535,0.04026848855236719
1.938,6.0,0.41910540312079775,0.042065673134644876
1.944,6.0,0.417683172775002,0.04348912434152983
1.95,6.0,0.41603009846845074,0.0447378482085227
1.956,6.0,0.4143885872935481,0.04589653450338081
1.962,6.0,0.41293952992687954,0.04707122572829508
1.968,6.0,0.411787856982748,0.048280627200060405
1.974,6.0,0.41096824802876675,0.04949550458172735
1.98,6.0,0.41046548676556927,0.050598117342809154
1.986,6.0,0.41024018617146507,0.051473183540951824
1.992,6.0,0.41025109706187923,0.05201477833184092
1.998,6.0,0.4104687524642648,0.052139699372851185
2.004,6.0,0.4108795741466598,0.05179778133617894
2.0100000000000002,6.0,0.4114825013680997,0.05099215320709098
2.016,6.0,0.41228127965049577,0.04971302519856121
2.0220000000000002,6.0,0.4132754985388483,0.04803694478783039
2.028,6.0,0.4144531311433154,0.046083430404803526
2.0340000000000003,6.0,0.41578683814835615,0.044084032607273546
2.04,6.0,0.41723537324490295,0.04228259859091653
2.0460000000000003,6.0,0.41874991924804184,0.040923942873075395
2.052,6.0,0.420283542397428,0.04020678807146753
2.058,6.0,0.42180093146053466,0.04026647808082475
2.064,6.0,0.42328560975926766,0.041145201919705034
2.07,6.0,0.42474263840261406,0.04280563233984051
2.076,6.0,0.4261960621703652,0.045156943514344475
2.082,6.0,0.42768127179316584,0.048079007404435575
2.088,6.0,0.4292333381280357,0.051429395474449836
2.094,6.0,0.4308733620852505,0.05500805859765052
2.1,6.0,0.4325959870207598,0.0586848565854073
2.106,6.0,0.43436183144303964,0.062348713627586615
2.112,6.0,0.436098023855934,0.06584979171421418
2.118,6.0,0.4377077772332398,0.069042452535227
2.124,6.0,0.4390869087915114,0.07180703226433088
2.13,6.0,0.440142693965802,0.07405326002256477
2.136,6.0,0.4408096061552901,0.07572281841782925
2.142,6.0,0.4410576562653221,0.07679373885135955
2.148,6.0,0.44089142287768796,0.07728244450503906
2.154,6.0,0.4403404164623885,0.0772373582521723
2.16,6.0,0.43944354642350314,0.07672187563036122
2.166,6.0,0.43823211202573753,0.07582816877747271
2.172,6.0,0.4367167100996876,0.07468856905422677
2.178,6.0,0.43488333859604544,0.07347074063811398
2.184,6.0,0.4327020683197712,0.07236006508014785
2.19,6.0,0.4301477314297042,0.07152493618138366
2.196,6.0,0.42722735016568425,0.07107337642809423
2.202,6.0,0.4240054731111862,0.07101595425445675
2.208,6.0,0.42061819547930834,0.07125181770740154
2.214,6.0,0.4172699206924791,0.07158644783057341
2.22,6.0,0.41421259462241233,0.07177404900237568
2.226,6.0,0.4117130885775792,0.07156589938540679
2.232,6.0,0.41001809485991236,0.07074950249540062
2.238,6.0,0.40932582842250526,0.06917728150792866
2.244,6.0,0.4097699929880101,0.06678017589516297
2.25,6.0,0.41141590005490414,0.0635623124466798
2.2560000000000002,6.0,0.4142640262239444,0.05959097213347345
2.262,6.0,0.41825510451850506,0.05500533554975709
2.2680000000000002,6.0,0.4232732134043954,0.04999940447884846
2.274,6.0,0.42914730633236364,0.04481518691368915
2.2800000000000002,6.0,0.43565456418723353,0.03976207718283542
2.286,6.0,0.4425292052939714,0.0352121373242106
2.2920000000000003,6.0,0.4494782730038754,0.031574173847390925
2.298,6.0,0.4562028954938225,0.029208362318600092
2.3040000000000003,6.0,0.46242141984569374,0.028324549036904394
2.31,6.0,0.4678904005667205,0.02885974777622897
2.316,6.0,0.4724202193814438,0.030507402176326092
2.322,6.0,0.47588330237409315,0.0328684345954467
2.328,6.0,0.4782140343526199,0.03560724517795946
2.334,6.0,0.47940056796253183,0.03850587715374496
2.34,6.0,0.47947014386295517,0.041450315064894536
2.346,6.0,0.47847123336783437,0.04439810373783666
2.352,6.0,0.4764571882817527,0.047338875743932494
2.358,6.0,0.4734763364704393,0.050260711315073155
2.364,6.0,0.46957213466213127,0.053126768039438506
2.37,6.0,0.46479426727905676,0.05586538766676851
2.376,6.0,0.45921822660138445,0.05837394657787295
