t,C,sigma,norm
149,0.9944152026402655,1.0,0.1173759652924128
150,0.994465008839672,1.0,0.11690199195850094
151,0.9945138629532684,1.0,0.11643286501377947
152,0.9945617889506806,1.0,0.11596849947260743
153,0.9946088101116612,1.0,0.11550881245990219
154,0.9946549490470564,1.0,0.11505372314353329
155,0.9947002277191492,1.0,0.1146031526693437
156,0.9947446674614052,1.0,0.11415702409867982
157,0.9947882889976231,1.0,0.11371526234831794
158,0.9948311124605125,1.0,0.11327779413268121
159,0.9948731574097145,1.0,0.11284454790824514
160,0.9949144428492723,1.0,0.11241545382003562
161,0.9949549872445733,1.0,0.11199044365012792
162,0.9949948085387711,1.0,0.11156945076805967
163,0.9950339241687041,1.0,0.1111524100830747
164,0.9950723510803274,1.0,0.11073925799811937
165,0.995110105743665,1.0,0.11032993236551591
166,0.9951472041673024,1.0,0.10992437244424198
167,0.9951836619124242,1.0,0.10952251885874804
168,0.9952194941064233,1.0,0.10912431355924762
169,0.995254715456077,1.0,0.10872969978341994
170,0.9952893402603188,1.0,0.10833862201946454
171,0.9953233824226053,1.0,0.10795102597045325
172,0.9953568554629002,1.0,0.10756685851992553
173,0.9953897725292773,1.0,0.10718606769867657
174,0.9954221464091642,1.0,0.10680860265268906
175,0.9954539895402286,1.0,0.10643441361216349
176,0.9954853140209216,1.0,0.10606345186160157
177,0.9955161316206935,1.0,0.10569566971090125
178,0.9955464537898818,1.0,0.10533102046742325
179,0.9955762916692906,1.0,0.10496945840899036
180,0.9956056560994684,1.0,0.10461093875778292
181,0.9956345576296896,1.0,0.1042554176550955
182,0.9956630065266558,1.0,0.10390285213692128
183,0.9956910127829219,1.0,0.10355320011033214
184,0.995718586125054,1.0,0.10320642033062384
185,0.9957457360215333,1.0,0.10286247237919695
186,0.995772471690409,1.0,0.10252131664214587
187,0.9957988021067082,1.0,0.10218291428952896
188,0.995824736009615,1.0,0.1018472272552941
189,0.9958502819094212,1.0,0.10151421821783543
190,0.9958754480942604,1.0,0.10118385058115759
191,0.9959002426366282,1.0,0.1008560884566252
192,0.9959246733997004,1.0,0.10053089664527606
193,0.9959487480434455,1.0,0.10020824062067725
194,0.9959724740305566,1.0,0.09988808651230456
195,0.9959958586321856,1.0,0.0995704010894267
196,0.9960189089335085,1.0,0.09925515174547526
197,0.9960416318391071,1.0,0.09894230648288409
198,0.996064034078189,1.0,0.09863183389838065
199,0.9960861222096425,1.0,0.09832370316871378
200,0.9961079026269332,1.0,0.09801788403680232
201,0.9961293815628497,1.0,0.09771434679829018
202,0.996150565094101,1.0,0.0974130622884932
203,0.9961714591457701,1.0,0.09711400186972495
204,0.996192069495631,1.0,0.09681713741898777
205,0.9962124017783331,1.0,0.09652244131601707
206,0.9962324614894535,1.0,0.09622988643166656
207,0.996252253989426,1.0,0.09593944611662308
208,0.996271784507348,1.0,0.09565109419043971
209,0.9962910581446729,1.0,0.09536480493087686
210,0.9963100798787854,1.0,0.0950805530635407
211,0.9963288545664716,1.0,0.09479831375180929
212,0.9963473869472755,1.0,0.09451806258703711
213,0.9963656816467649,1.0,0.09423977557902834
214,0.9963837431796856,1.0,0.0939634291467707
215,0.9964015759530267,1.0,0.09368900010942112
216,0.996419184268991,1.0,0.09341646567753512
217,0.9964365723278761,1.0,0.0931458034445322
218,0.9964537442308657,1.0,0.09287699137838952
219,0.9964707039827416,1.0,0.09261000781355672
220,0.9964874554945076,1.0,0.09234483144308521
221,0.9965040025859409,1.0,0.09208144131096446
222,0.9965203489880616,1.0,0.09181981680465952
223,0.9965364983455339,1.0,0.09155993764784322
224,0.9965524542189885,1.0,0.0913017838933168
225,0.996568220087282,1.0,0.09104533591611387
226,0.9965837993496861,1.0,0.09079057440678104
227,0.9965991953280131,1.0,0.09053748036483088
228,0.9966144112686777,1.0,0.09028603509236129
229,0.9966294503446964,1.0,0.09003622018783652
230,0.9966443156576306,1.0,0.08978801754002501
231,0.9966590102394738,1.0,0.08954140932208904
232,0.9966735370544756,1.0,0.08929637798582231
233,0.9966878990009239,1.0,0.08905290625603039
234,0.9967020989128652,1.0,0.0888109771250502
235,0.9967161395617796,1.0,0.08857057384740444
236,0.9967300236582061,1.0,0.08833167993458682
237,0.996743753853319,1.0,0.08809427914997464
238,0.9967573327404641,1.0,0.08785835550386455
239,0.9967707628566431,1.0,0.08762389324862849
240,0.9967840466839616,1.0,0.08739087687398585
241,0.9967971866510295,1.0,0.08715929110238911
242,0.9968101851343292,1.0,0.08692912088451904
243,0.9968230444595361,1.0,0.086700351394887
244,0.9968357669028076,1.0,0.08647296802754106
245,0.9968483546920335,1.0,0.08624695639187283
246,0.9968608100080487,1.0,0.08602230230852269
247,0.9968731349858159,1.0,0.08579899180538035
248,0.9968853317155717,1.0,0.08557701111367785
249,0.9968974022439404,1.0,0.08535634666417327
250,0.9969093485750187,1.0,0.08513698508342186
251,0.996921172671429,1.0,0.08491891319013257
252,0.9969328764553423,1.0,0.08470211799160768
253,0.9969444618094724,1.0,0.08448658668026318
254,0.9969559305780454,1.0,0.0842723066302278
255,0.9969672845677405,1.0,0.08405926539401855
256,0.9969785255486011,1.0,0.0838474506992907
257,0.9969896552549281,1.0,0.0836368504456603
258,0.9970006753861431,1.0,0.08342745270159733
259,0.9970115876076295,1.0,0.08321924570138746
260,0.9970223935515516,1.0,0.08301221784216085
261,0.9970330948176492,1.0,0.08280635768098613
262,0.9970436929740133,1.0,0.08260165393202763
263,0.9970541895578375,1.0,0.08239809546376498
264,0.9970645860761532,1.0,0.08219567129627234
265,0.997074884006539,1.0,0.08199437059855683
266,0.9970850847978187,1.0,0.08179418268595381
