t,peak,symmetry_error,chi,norm
293,1.0639469123,0.0021806353,0.0156209707,4.6663677232
294,1.0637229999,0.0019828929,0.0073971182,4.6660489329
295,1.0642239980,0.0020907833,0.0146995089,4.6679711709
296,1.0643150269,0.0021252913,0.0106001643,4.6678490440
297,1.0649058956,0.0020813451,0.0134462024,4.6687639718
298,1.0643946233,0.0021028004,0.0059473907,4.6688711551
299,1.0647172049,0.0021568882,0.0159978934,4.6703987021
300,1.0654585162,0.0023899527,0.0177756430,4.6722331157
301,1.0661101724,0.0024784445,0.0150579515,4.6731912062
302,1.0662033131,0.0024071614,0.0146800318,4.6742399535
303,1.0657137868,0.0024645291,0.0000000000,4.6718954226
304,1.0663060785,0.0023997083,0.0132510228,4.6722387999
305,1.0660705539,0.0026723347,0.0118778625,4.6728536534
306,1.0666285916,0.0029165830,0.0112941816,4.6725709503
307,1.0662655480,0.0029785203,0.0089732256,4.6720148007
308,1.0662499465,0.0029536123,0.0122657519,4.6719345732
309,1.0663062410,0.0028966264,0.0139781635,4.6723504496
310,1.0665437899,0.0028518727,0.0107338168,4.6723805253
311,1.0664719732,0.0030053719,0.0097760441,4.6726573281
312,1.0668566776,0.0028401991,0.0179028183,4.6748075135
313,1.0667709802,0.0028552520,0.0066942379,4.6744999966
314,1.0674866311,0.0026927656,0.0169447449,4.6763563459
315,1.0678277071,0.0026302140,0.0128486998,4.6765270953
316,1.0679539270,0.0027028836,0.0081393329,4.6759191292
317,1.0686046735,0.0030663488,0.0106080869,4.6761289312
318,1.0678658684,0.0030065053,0.0075840307,4.6754373114
319,1.0685287694,0.0030586758,0.0152403097,4.6765852290
320,1.0689672499,0.0032637717,0.0136699285,4.6778678517
321,1.0696094916,0.0032356258,0.0093273784,4.6776434162
322,1.0696942331,0.0031195873,0.0067093522,4.6774891496
323,1.0699587078,0.0030451829,0.0134482372,4.6779822168
324,1.0698460307,0.0030029735,0.0165954509,4.6795664366
325,1.0704439400,0.0029689125,0.0114535855,4.6798331494
326,1.0709915473,0.0029767459,0.0140080920,4.6803587542
327,1.0707448019,0.0032022213,0.0101950697,4.6802418753
328,1.0709620207,0.0033364147,0.0123243322,4.6813132201
329,1.0709952391,0.0029846740,0.0106018420,4.6814533439
330,1.0719592074,0.0029023912,0.0134114023,4.6825211064
331,1.0716893755,0.0028541892,0.0047530919,4.6806838339
332,1.0719488828,0.0030215670,0.0150921145,4.6815506256
333,1.0725914681,0.0032714121,0.0108963241,4.6819168142
334,1.0733196891,0.0031505952,0.0137213187,4.6825500435
335,1.0736065768,0.0030838104,0.0103665114,4.6832153580
336,1.0743667044,0.0029540993,0.0135377337,4.6837981242
337,1.0739640398,0.0030071739,0.0068516985,4.6824877695
338,1.0746072628,0.0029420075,0.0177079412,4.6845703677
339,1.0744987171,0.0029747144,0.0038229860,4.6831272793
340,1.0745809211,0.0028477244,0.0070116537,4.6825341404
341,1.0753468893,0.0028019143,0.0131311971,4.6829520518
342,1.0754518008,0.0030490641,0.0190216430,4.6849547233
343,1.0758328523,0.0030472457,0.0133350062,4.6854725759
344,1.0759946989,0.0030598534,0.0108100394,4.6854098573
345,1.0756494704,0.0031648190,0.0051595673,4.6845576470
346,1.0759840938,0.0030398892,0.0110818720,4.6846548297
347,1.0759596651,0.0029979253,0.0119045903,4.6852915980
348,1.0766678274,0.0031710915,0.0201147295,4.6873213553
349,1.0774699348,0.0031076973,0.0149862011,4.6886209285
350,1.0771981473,0.0032661487,0.0046603542,4.6874831716
351,1.0784968688,0.0035680551,0.0217285397,4.6902028128
352,1.0783063787,0.0033966611,0.0101039526,4.6898944959
353,1.0783557694,0.0031500800,0.0077785934,4.6890686136
354,1.0792729895,0.0031188435,0.0190791487,4.6908420636
355,1.0798210287,0.0028636602,0.0117611724,4.6913624662
356,1.0801930317,0.0028128774,0.0102364675,4.6913954773
357,1.0808511321,0.0027085986,0.0130501727,4.6916819843
358,1.0812124820,0.0026576621,0.0160554661,4.6926666645
359,1.0817660265,0.0028779828,0.0167680138,4.6943559049
360,1.0816634045,0.0027634626,0.0053990285,4.6933051397
361,1.0822540999,0.0027620067,0.0215927111,4.6953591839
362,1.0830962334,0.0029330708,0.0165449356,4.6962684988
363,1.0830987927,0.0030234251,0.0101798349,4.6962791553
364,1.0833588589,0.0030115540,0.0080704327,4.6958516551
365,1.0830142155,0.0031626506,0.0073487403,4.6954243505
366,1.0830796292,0.0029750018,0.0125922165,4.6961978591
367,1.0833549117,0.0030968879,0.0088895218,4.6957553246
368,1.0831285738,0.0030214411,0.0083286050,4.6956343314
369,1.0843012999,0.0031446657,0.0158940211,4.6975649172
370,1.0849930554,0.0032759374,0.0137499233,4.6980592842
371,1.0851305700,0.0032197653,0.0101060580,4.6980126564
372,1.0852461840,0.0034354485,0.0155243885,4.6990915419
373,1.0864250170,0.0033719305,0.0185634174,4.7016420820
374,1.0864372139,0.0034011950,0.0067464177,4.7006662399
375,1.0868559038,0.0035329821,0.0091041990,4.7011062307
376,1.0881599388,0.0036381554,0.0165245848,4.7031138742
377,1.0892492328,0.0037348415,0.0154509147,4.7038420749
378,1.0892321356,0.0034741187,0.0130881545,4.7047995292
379,1.0905420170,0.0033913864,0.0175796217,4.7063940366
380,1.0899065344,0.0032818941,0.0067765837,4.7060140317
381,1.0891984178,0.0034227137,0.0049001384,4.7050634866
