t,peak,symmetry_error,chi,norm
416,1.1078038651,0.0037192265,0.0120000000,4.7404468172
417,1.1082816651,0.0037936505,0.0120000000,4.7410550402
418,1.1086875814,0.0039308645,0.0120000000,4.7418754984
419,1.1092651457,0.0040743094,0.0120000000,4.7424085263
420,1.1091667370,0.0041370640,0.0120000000,4.7427483628
421,1.1090523135,0.0039639799,0.0120000000,4.7428314863
422,1.1091132811,0.0041676775,0.0120000000,4.7432889648
423,1.1094928462,0.0042075498,0.0120000000,4.7437179612
424,1.1095259385,0.0042732339,0.0120000000,4.7445591960
425,1.1105194978,0.0043117149,0.0120000000,4.7456711150
426,1.1111206680,0.0045534711,0.0120000000,4.7464026778
427,1.1110165402,0.0046599571,0.0120000000,4.7471448611
428,1.1115200704,0.0047741193,0.0120000000,4.7478188560
429,1.1118776076,0.0047455207,0.0120000000,4.7480745087
430,1.1120200416,0.0044936210,0.0120000000,4.7483338798
431,1.1119863569,0.0044188951,0.0120000000,4.7485933990
432,1.1123427787,0.0046564536,0.0120000000,4.7493900233
433,1.1125086906,0.0046397217,0.0120000000,4.7502872330
434,1.1122821571,0.0047169248,0.0120000000,4.7506442466
435,1.1129128082,0.0049889282,0.0120000000,4.7509014927
436,1.1139496778,0.0047693512,0.0120000000,4.7516634049
437,1.1141581687,0.0045972353,0.0120000000,4.7519471389
438,1.1151768975,0.0048591833,0.0120000000,4.7529046959
439,1.1157451738,0.0052193241,0.0120000000,4.7538995946
440,1.1164168171,0.0050475593,0.0120000000,4.7544879637
441,1.1174506075,0.0052657406,0.0120000000,4.7557544533
442,1.1174639018,0.0053175623,0.0120000000,4.7564074816
443,1.1176506128,0.0052612324,0.0120000000,4.7570449217
444,1.1178093229,0.0051156201,0.0120000000,4.7584829936
445,1.1192300048,0.0053835599,0.0120000000,4.7595915983
446,1.1197153382,0.0055226134,0.0120000000,4.7602108040
447,1.1203426104,0.0056443479,0.0120000000,4.7612662377
448,1.1208933202,0.0053543440,0.0120000000,4.7623978690
449,1.1214037859,0.0054025888,0.0120000000,4.7635225186
450,1.1222720640,0.0055588692,0.0120000000,4.7649279329
451,1.1230287943,0.0055314567,0.0120000000,4.7656865335
452,1.1231835296,0.0055127466,0.0120000000,4.7663171160
453,1.1231844439,0.0055868574,0.0120000000,4.7668425294
454,1.1237983701,0.0054790647,0.0120000000,4.7674290905
455,1.1237742515,0.0052133681,0.0120000000,4.7683763817
456,1.1250075977,0.0051199518,0.0120000000,4.7692868928
457,1.1253611029,0.0050293816,0.0120000000,4.7701349725
458,1.1254110172,0.0050310301,0.0120000000,4.7708098725
459,1.1266278290,0.0051345095,0.0120000000,4.7719884348
460,1.1273136869,0.0052549076,0.0120000000,4.7728853505
461,1.1276435418,0.0049676551,0.0120000000,4.7734441164
462,1.1283692196,0.0051077986,0.0120000000,4.7743135724
463,1.1291241654,0.0052128485,0.0120000000,4.7748751021
